tenure,monthly_salary,overtime_hours,performance,promotions,commute_minutes,attrition
17.1,10667,6.4,1.9,4,31.4,0
16.1,33926,2.2,4.0,8,60.7,0
6.2,8207,10.0,1.8,9,63.6,1
3.0,27478,9.4,2.1,1,109.0,1
9.3,26196,26.4,3.8,2,72.2,0
6.7,20034,6.7,2.3,3,88.3,1
5.9,17779,5.4,3.9,7,60.9,0
6.5,24077,4.4,3.6,1,102.6,0
3.2,23649,7.9,3.9,10,18.4,0
0.9,22619,25.3,4.3,9,54.6,0
18.2,24074,10.4,4.6,8,61.9,0
7.6,13317,35.7,3.4,4,24.7,1
2.3,17923,20.1,3.7,9,85.3,0
3.2,11217,7.2,4.8,10,105.9,0
14.8,17757,1.6,4.0,3,16.9,0
1.3,12775,20.7,4.2,6,61.7,1
1.4,27250,13.0,3.8,8,79.7,0
15.0,24960,21.8,1.7,10,51.6,0
18.0,8550,20.7,2.5,3,66.8,1
17.4,21953,31.7,4.5,0,65.2,0
3.7,8526,20.6,2.1,2,30.6,1
14.5,9877,26.4,2.7,5,89.2,1
9.8,12904,23.6,3.6,6,12.5,1
11.7,11279,5.4,3.1,9,26.2,0
18.5,22929,38.3,3.4,9,80.1,0
14.7,32912,11.3,1.3,7,76.7,0
9.9,13188,33.2,3.4,9,100.2,1
13.4,14667,6.7,3.7,7,75.6,0
7.9,10332,4.3,1.8,8,85.3,0
12.3,11813,19.0,3.5,0,106.6,1
15.2,9053,19.3,1.5,9,69.3,1
18.8,28235,26.0,3.1,5,106.2,0
8.9,32289,19.3,4.1,5,74.8,0
15.4,28829,23.0,2.7,4,62.5,0
17.3,15282,23.9,3.2,4,30.8,0
15.9,24939,20.9,3.1,6,82.0,0
6.7,17870,4.3,2.7,9,37.9,0
8.8,17981,24.5,5.0,6,93.0,0
15.8,21809,7.1,3.2,7,37.9,0
7.2,29117,15.9,1.6,10,23.1,0
15.8,11301,4.0,3.0,5,98.1,0
13.8,7705,6.4,4.9,0,98.5,1
9.7,25668,17.4,1.3,3,50.8,0
14.6,19128,24.6,3.1,9,16.3,0
3.9,22199,17.6,1.8,10,112.4,0
4.3,31688,24.0,3.1,3,77.7,0
7.5,27463,0.0,1.6,4,95.8,0
8.2,25204,8.0,1.1,1,111.1,1
14.7,24321,36.6,2.4,4,34.9,0
9.4,19236,23.0,2.0,6,65.7,0
10.3,17140,37.9,4.2,4,106.4,1
11.7,28747,17.7,2.5,7,94.7,0
19.2,21035,27.3,4.6,0,63.0,0
8.0,31842,39.8,3.7,3,98.0,0
7.4,23552,0.4,4.3,3,41.6,0
15.1,17206,3.0,4.7,7,44.5,0
11.7,11989,37.9,3.7,3,64.9,1
14.8,34598,10.6,1.9,3,102.0,0
15.7,9928,36.8,3.7,10,64.2,1
17.2,7384,33.9,2.5,5,64.2,1
18.0,34467,11.0,1.7,8,40.8,0
11.7,7774,21.0,2.7,8,13.6,0
17.3,31424,7.0,4.9,8,60.6,0
0.7,12905,15.2,1.4,5,77.4,1
11.2,13770,10.8,4.8,5,50.3,0
4.6,28960,30.1,2.5,6,40.8,0
3.1,24870,27.4,4.3,4,98.4,0
17.2,12424,5.8,4.8,2,62.0,1
8.7,10406,39.8,4.4,8,68.7,1
10.0,14223,22.5,3.3,6,20.9,0
4.7,14332,19.1,3.5,7,91.9,1
7.5,24267,37.3,2.0,0,55.3,1
13.8,25843,8.0,3.3,10,69.2,0
6.0,16652,26.9,2.9,7,107.9,1
6.1,26699,38.3,4.5,10,98.8,0
12.8,24731,16.2,4.6,1,27.8,0
6.7,15547,28.4,3.4,6,39.8,0
17.3,17900,29.9,3.1,7,55.5,0
1.0,29847,9.4,2.0,1,33.2,0
2.4,34792,18.9,1.2,6,67.6,0
2.5,26253,6.2,3.6,6,44.0,0
6.0,26528,5.1,3.1,2,13.1,0
17.3,16656,34.6,2.9,8,112.8,0
3.1,28859,21.6,3.4,7,79.4,0
11.5,23152,25.6,3.1,5,63.0,0
2.2,16088,14.6,2.0,4,11.2,1
15.3,10466,13.8,2.9,0,85.7,1
15.2,15817,0.4,2.7,4,75.7,0
11.2,12179,16.5,3.2,6,37.5,0
13.1,33145,15.1,2.1,6,78.8,0
16.1,26093,32.3,3.7,4,81.3,0
5.7,12160,34.1,1.7,4,22.1,1
9.3,28953,24.9,1.8,0,26.7,0
0.9,9351,11.3,1.5,7,90.0,1
3.4,22173,8.7,2.7,7,119.8,0
15.9,16821,3.2,4.0,2,16.2,0
1.9,21405,7.3,4.6,4,99.9,0
2.9,31170,28.6,2.5,7,37.2,0
4.4,30095,30.8,3.1,3,62.0,0
6.6,16586,6.3,3.9,8,67.3,0
13.0,12511,14.4,1.2,10,34.0,0
12.8,16633,0.6,4.2,9,23.2,0
0.7,7376,23.2,3.8,9,27.0,0
5.4,22381,3.7,3.5,10,16.6,0
3.5,23575,31.7,1.5,3,44.8,1
13.1,17380,32.2,2.8,3,12.3,0
14.6,14214,35.9,2.9,7,71.5,0
10.1,24569,7.5,2.4,7,40.3,0
18.3,24170,6.4,3.1,7,42.5,0
7.7,6023,31.0,3.0,2,107.1,1
7.6,26322,9.6,3.9,10,116.4,0
4.2,28387,19.9,3.2,9,41.1,0
6.8,9154,20.9,1.3,2,29.7,0
2.6,12278,4.0,3.3,6,82.4,1
14.2,14386,2.0,1.9,1,11.4,0
13.3,33265,3.2,4.2,0,49.7,0
17.9,32936,14.8,3.8,9,39.2,1
1.9,15958,3.1,1.9,8,20.7,0
10.9,12208,7.7,3.6,9,78.8,0
15.1,19604,29.8,4.1,9,49.4,0
13.5,34928,4.2,4.2,8,54.2,0
3.6,25658,17.7,2.4,5,70.5,0
17.0,19511,30.6,2.7,5,76.9,0
4.7,31090,22.0,4.0,5,115.8,0
8.2,29799,1.4,2.1,0,66.9,0
6.4,15841,39.4,1.9,5,12.4,1
13.9,15042,36.8,3.0,9,111.9,1
1.2,17654,6.2,2.1,9,37.5,0
6.4,24693,16.0,4.7,1,89.6,0
3.9,33056,36.0,3.8,1,75.5,0
14.8,24883,15.3,4.1,5,48.3,0
8.6,34437,4.8,4.1,10,103.4,0
12.9,26715,15.3,2.2,0,45.1,0
6.9,28864,8.8,1.2,6,116.8,0
11.7,8951,8.9,2.2,6,26.3,0
9.8,30422,2.0,2.6,1,53.8,0
14.1,30970,5.4,3.2,7,53.5,0
11.4,30106,21.0,2.0,4,95.4,0
18.5,8935,4.5,2.7,5,48.3,0
12.1,6793,30.8,1.7,5,77.8,1
9.1,10778,17.6,4.7,3,32.0,0
15.3,33943,3.4,4.0,3,114.4,0
17.4,32874,11.5,2.4,1,43.6,0
7.0,30248,21.5,1.8,8,92.5,0
12.6,10631,27.8,3.7,6,74.1,1
1.3,11581,2.4,1.8,9,39.8,0
18.9,8182,15.5,2.1,10,49.6,0
6.2,34947,26.0,1.9,6,65.9,0
18.1,21881,34.7,3.1,2,31.9,0
11.4,29346,0.9,2.0,8,43.5,0
15.0,6602,13.9,2.4,10,43.3,0
19.6,15039,32.5,3.5,6,107.9,0
1.1,24184,38.0,1.9,5,108.7,1
2.2,18524,20.8,3.7,10,85.5,0
11.7,19974,38.8,4.6,5,59.4,0
13.2,25039,21.7,4.2,2,44.0,0
10.7,10431,17.2,4.6,2,82.2,1
3.6,8222,22.3,4.8,1,30.3,1
3.3,6966,30.6,4.5,6,115.7,1
15.0,32925,35.8,4.7,4,26.7,0
3.1,6858,30.5,3.4,4,76.6,1
12.1,13566,27.5,2.4,7,24.7,0
9.6,27285,15.0,4.4,7,62.1,0
4.9,19388,30.6,1.1,4,114.5,1
13.6,12646,30.3,1.3,7,105.4,1
6.8,20992,35.5,2.7,0,76.9,1
14.5,18915,24.5,4.0,9,69.0,0
14.2,7261,20.8,2.8,0,106.6,1
11.0,30090,1.6,2.5,10,115.9,0
9.1,34979,12.2,4.3,7,28.3,0
18.4,28608,20.7,1.6,10,59.7,0
2.7,31517,23.4,4.6,8,24.9,0
9.3,11861,18.1,4.6,3,107.1,1
6.8,27252,36.3,4.2,1,20.0,0
12.9,8795,21.0,2.5,8,77.3,1
11.2,7438,30.7,4.6,9,105.8,1
3.7,10738,7.2,3.8,6,43.9,0
19.2,15462,25.1,1.5,2,115.6,0
15.4,6400,18.3,4.4,8,98.8,0
10.1,13106,23.6,2.9,6,58.6,0
0.6,34906,21.9,3.5,8,100.2,0
4.1,7804,26.1,1.1,0,83.4,1
6.3,8873,2.0,2.7,2,27.7,1
13.4,28932,23.8,4.1,2,116.3,0
7.5,7174,3.7,2.2,5,108.7,1
15.3,33633,22.0,2.2,2,23.4,0
6.9,19558,21.0,3.8,9,16.4,0
19.6,23332,39.5,2.9,9,112.7,0
6.1,25950,33.9,2.0,9,119.5,0
3.0,24436,19.9,3.9,7,64.2,0
12.4,29218,11.6,1.8,1,12.6,0
2.8,33789,8.3,3.5,6,55.5,0
11.4,26889,8.5,3.6,4,38.0,0
6.4,24022,13.0,1.0,10,46.7,0
11.6,6954,33.3,1.8,5,111.5,1
9.8,7165,25.8,2.9,10,60.7,0
18.0,21154,31.4,2.7,0,101.9,1
14.6,16338,22.2,1.1,9,85.4,0
17.8,17586,2.6,1.6,0,47.3,0
10.9,11438,22.8,2.6,9,22.9,0
6.5,34109,12.6,1.1,6,19.5,0
7.7,33179,38.0,1.9,4,29.3,0
1.2,12622,36.5,2.8,0,97.9,1
3.5,17144,36.9,3.9,8,44.1,0
15.5,9219,32.9,4.8,10,119.2,0
1.2,18700,28.5,3.1,0,44.2,0
17.0,34569,3.5,2.9,0,21.3,0
15.0,6736,23.1,2.2,3,45.3,1
5.9,16457,30.9,3.7,4,26.4,0
0.8,26412,22.4,1.4,8,48.5,0
3.3,29080,32.2,3.3,2,17.8,0
7.1,20537,2.0,1.1,10,15.6,0
2.2,18842,7.2,3.4,9,79.2,0
9.2,17653,12.5,4.3,10,99.0,0
18.5,31048,18.6,1.5,7,20.7,0
13.1,31116,18.6,1.9,3,25.8,0
5.5,17909,15.7,3.8,10,46.3,0
6.8,21974,1.2,2.9,5,62.7,0
6.0,17423,24.2,1.5,1,54.6,1
2.6,24223,26.0,4.2,8,60.7,0
5.2,13985,21.9,4.9,6,17.3,0
14.0,20127,31.4,2.7,5,69.9,0
13.4,8552,29.6,3.8,7,22.6,0
6.8,9199,32.9,1.7,6,17.7,1
16.4,31275,32.8,2.3,10,82.6,0
16.4,25030,36.1,3.5,0,93.3,1
9.3,15551,15.6,3.3,3,32.6,0
6.3,32029,36.5,2.2,6,89.0,0
19.8,25094,0.3,4.9,6,103.2,0
1.7,23985,38.7,1.0,8,100.3,1
17.3,34366,1.2,2.7,9,53.4,0
8.0,18503,17.4,1.8,2,62.2,1
8.0,17805,33.6,1.6,10,23.8,1
13.1,10718,28.9,2.9,6,117.2,1
3.2,32409,16.6,2.8,9,112.3,0
9.4,19897,22.1,2.8,5,34.8,0
0.6,22323,33.9,1.9,8,39.6,0
11.7,7096,39.1,3.3,5,22.4,1
14.0,10655,29.2,3.1,4,61.1,1
17.9,8898,9.8,3.5,10,115.6,0
12.9,32152,23.2,3.5,5,68.9,1
9.4,21375,23.0,2.3,5,115.7,1
6.1,7157,27.8,3.4,4,90.0,1
1.7,21504,23.1,3.3,10,118.9,0
12.7,15398,19.4,1.5,1,103.7,1
3.1,15206,11.0,2.0,1,76.4,1
14.9,27599,17.9,4.2,4,96.1,0
4.0,23281,34.5,2.4,1,116.4,1
16.5,33446,19.8,5.0,6,36.2,0
12.9,12909,23.1,4.4,0,80.6,1
2.8,11491,18.6,2.9,7,92.1,1
10.9,18445,27.3,2.6,4,26.0,0
0.7,32126,18.0,3.7,8,85.1,1
18.4,26887,14.2,4.4,9,111.0,0
7.0,14751,32.1,2.0,9,53.0,1
15.1,30061,26.9,4.1,8,47.1,0
4.0,23944,0.4,1.0,1,11.3,0
2.5,20612,14.1,3.9,4,31.2,1
2.3,25468,26.3,4.3,9,80.2,0
2.8,34063,24.2,2.5,10,72.3,0
18.0,28795,7.4,2.2,10,113.0,0
18.5,15056,30.8,3.8,10,94.7,0
3.7,8424,11.1,1.2,6,46.6,1
19.1,14672,7.1,1.3,3,77.1,0
10.1,10714,21.6,2.7,9,80.8,0
14.5,9384,1.4,1.3,4,95.5,0
10.2,27393,25.6,4.7,10,53.0,0
6.9,18823,23.0,3.1,7,62.6,0
14.7,32616,31.4,3.2,0,52.3,0
15.7,9971,22.7,4.7,5,46.7,0
1.6,27203,3.6,3.1,5,18.9,0
15.4,27226,8.1,3.2,6,82.7,0
8.1,9498,25.2,2.4,1,107.4,1
4.2,7169,7.7,3.9,9,36.2,0
16.0,27083,12.3,3.1,7,116.3,1
7.1,17066,31.5,1.2,1,33.3,1
10.7,28219,34.8,3.1,9,35.6,0
14.8,22020,26.2,2.9,9,15.0,0
3.0,11644,25.3,4.6,1,60.2,1
12.0,32797,32.7,1.5,9,97.9,0
16.2,19966,13.5,4.3,10,54.2,0
13.8,23887,5.5,4.3,3,94.1,0
7.0,9956,11.0,4.0,2,86.6,1
9.1,25070,1.6,1.4,10,77.4,0
0.8,21956,3.2,1.0,1,87.7,1
6.0,28724,32.3,4.1,2,32.7,0
10.7,19501,9.6,1.7,0,75.6,1
12.4,8884,25.1,4.1,5,56.1,1
4.2,23373,39.1,3.5,8,65.8,0
12.7,12819,11.1,1.8,2,85.4,1
9.8,11777,6.4,4.7,0,80.9,1
9.0,16954,24.7,4.6,7,14.8,0
18.5,11763,6.3,1.1,8,22.8,0
14.6,25421,23.2,2.7,10,108.8,0
2.6,13463,3.9,4.0,3,51.3,0
9.7,21873,2.2,2.7,3,112.1,0
8.1,10469,18.3,1.8,5,117.3,1
3.0,28682,22.7,2.1,1,103.7,1
3.8,17258,8.8,2.2,2,96.9,1
12.4,11568,23.1,3.2,3,19.5,0
10.0,13092,23.7,4.3,4,11.6,0
17.5,14120,13.1,3.3,9,114.1,0
18.0,19689,39.2,1.2,7,90.7,1
8.8,18921,19.2,4.2,1,59.8,0
11.4,6407,27.7,2.6,3,24.6,1
13.1,8973,0.6,3.7,2,87.4,1
15.1,6799,39.1,2.9,2,106.2,1
15.9,18137,25.1,3.8,0,104.6,1
17.9,16908,21.2,2.2,4,86.8,0
11.7,12787,31.5,1.3,5,90.9,1
18.9,28107,14.6,1.2,6,50.2,0
7.6,11743,25.9,3.8,8,88.0,1
19.6,13819,21.6,3.6,9,105.8,0
15.2,30932,9.0,2.4,4,65.4,0
1.6,18216,13.8,2.9,8,101.3,0
10.9,33046,21.3,2.2,9,50.5,0
14.0,34938,2.6,4.6,7,19.6,0
4.0,8521,4.4,2.1,2,64.6,1
10.7,26554,0.9,2.7,10,69.6,0
7.3,20544,29.5,1.1,3,16.9,1
5.0,23026,25.8,2.6,5,82.1,1
10.0,27818,27.9,4.4,7,60.4,0
18.0,16043,6.9,2.0,7,50.9,0
17.0,10860,14.1,2.8,2,78.0,1
10.9,11972,38.9,4.4,10,97.4,0
2.8,16375,23.0,2.8,5,30.3,1
1.2,16385,39.1,1.6,7,69.4,1
6.4,6816,16.2,3.0,2,114.3,1
3.5,30199,21.8,3.0,10,87.6,0
6.2,30712,39.2,3.3,2,98.0,1
18.5,17098,27.6,3.9,0,25.3,0
6.5,19160,24.7,1.9,5,20.2,0
13.0,25117,21.1,4.1,4,31.5,0
17.1,28186,26.9,1.3,8,53.4,0
12.3,22762,37.7,4.6,5,53.7,0
8.8,18652,14.9,2.1,5,43.9,0
11.4,13067,29.1,2.8,6,98.4,1
16.2,19888,29.1,2.7,9,75.8,0
6.4,34427,21.0,2.3,9,93.2,0
8.5,14956,16.6,3.2,9,93.1,0
4.1,18509,11.6,3.0,4,101.8,1
11.4,21186,9.0,4.2,2,38.9,0
16.8,21484,5.0,3.7,4,55.9,0
13.9,14019,1.1,4.1,7,119.4,0
15.0,25040,19.2,2.7,4,79.1,0
14.0,9918,14.9,3.9,0,103.0,1
1.6,16475,18.4,3.8,5,28.0,0
8.7,17664,1.9,2.2,10,113.0,0
15.4,12004,30.6,3.4,2,69.8,1
16.6,28445,32.0,2.1,5,20.5,0
16.6,6422,5.5,2.1,7,55.3,0
3.7,13139,6.2,1.9,3,97.5,1
13.9,23224,33.8,3.9,1,55.9,0
2.8,10300,36.9,2.9,4,86.0,1
9.1,25583,20.9,4.9,2,88.1,1
16.4,13286,5.1,3.8,3,43.8,0
19.6,19920,27.6,4.1,1,12.1,0
8.9,12434,4.3,4.2,8,75.2,0
18.2,7418,2.6,3.7,1,96.1,1
4.5,12554,7.4,2.4,1,26.0,1
5.9,24997,13.9,1.6,8,95.9,0
10.3,8239,4.0,3.3,0,68.2,1
19.3,11628,36.1,3.1,1,111.7,1
17.1,21555,14.7,3.4,7,84.1,0
16.8,18439,17.0,3.1,6,22.4,0
2.9,9614,20.8,3.0,5,87.5,1
1.3,16751,19.7,2.5,7,76.0,1
19.5,20547,9.0,2.6,6,30.8,0
16.9,21586,37.6,2.5,0,119.9,1
2.6,20354,20.9,3.7,1,25.8,1
12.0,9333,29.7,4.6,2,17.1,1
7.1,25495,33.8,2.6,3,102.2,1
5.9,29379,30.6,3.4,10,113.8,0
13.5,19252,39.5,3.0,2,94.5,1
5.4,22294,9.2,4.8,0,21.0,0
1.8,28220,1.1,1.7,9,84.7,0
12.6,9156,30.4,3.6,8,94.4,1
4.4,27695,19.9,3.0,8,47.8,0
11.2,31033,1.3,2.7,1,52.2,0
7.8,21062,1.4,1.7,10,104.6,0
14.3,22104,17.2,2.2,6,63.6,0
13.7,27629,22.2,3.2,7,62.4,0
10.4,18824,10.5,3.4,6,77.9,0
19.6,16501,2.5,3.4,2,102.1,0
15.0,6881,30.6,3.5,6,20.7,0
7.5,17510,2.3,2.0,3,81.3,1
18.3,8146,34.8,1.5,2,12.2,1
9.5,34290,16.9,3.1,6,39.3,0
12.0,16371,15.1,2.6,9,20.7,0
14.0,12747,13.4,3.0,10,47.3,0
7.6,20286,8.1,3.5,1,102.4,1
6.1,7557,11.9,3.3,3,78.7,1
14.5,24946,3.8,2.3,1,72.3,0
8.8,17380,31.8,3.6,4,65.5,1
13.4,16267,8.0,2.6,9,66.7,0
11.2,34865,0.7,3.8,2,73.5,0
19.3,30320,37.5,2.1,10,68.6,0
15.5,20212,37.4,3.9,0,67.4,1
3.4,10930,29.9,4.1,6,55.1,1
18.3,26772,8.1,2.6,4,81.1,0
12.2,19299,9.5,1.6,0,37.0,0
9.6,24344,39.7,2.7,0,32.2,1
1.1,31875,32.1,3.6,2,80.9,0
14.6,31632,0.8,4.4,1,44.5,0
1.7,19336,35.9,3.7,1,53.7,1
16.9,13734,4.5,3.9,1,67.4,0
19.0,23211,10.1,4.5,3,76.0,0
6.6,33273,23.4,2.6,3,112.9,0
2.6,13015,38.8,2.8,4,104.9,1
10.9,28925,37.9,2.3,6,62.2,0
5.9,31699,37.5,2.5,5,100.4,1
19.4,25851,1.4,4.0,0,86.0,0
5.2,24111,15.4,3.6,5,109.3,0
10.9,13745,34.3,2.6,6,112.0,1
6.4,32958,30.3,2.2,2,110.7,1
17.6,31124,25.8,4.2,4,105.3,0
18.8,21436,29.5,4.7,5,88.9,0
16.5,33013,6.4,2.0,1,48.7,0
16.4,30175,13.1,3.8,0,80.6,0
9.1,27007,5.4,2.6,10,43.6,0
2.7,14179,20.7,4.9,10,93.9,0
13.9,31973,37.6,2.8,2,38.7,0
16.6,32198,11.3,1.3,5,30.0,0
18.9,34978,22.8,1.1,0,111.5,0
12.7,8915,39.0,1.8,2,15.5,1
12.2,10890,3.6,2.5,9,22.9,0
9.0,20867,33.1,3.0,3,88.5,1
17.3,31628,10.6,4.0,6,24.3,0
12.2,33003,11.3,3.7,6,29.8,0
1.1,14578,9.4,2.8,3,50.7,1
9.4,6338,18.8,4.5,6,85.6,1
14.3,30120,23.9,1.3,8,16.5,0
5.1,17609,39.9,4.8,9,88.1,0
0.6,22532,24.8,2.2,6,83.8,1
17.9,7347,23.2,2.0,8,64.2,0
9.6,8937,12.7,3.1,2,38.6,1
19.6,22358,34.9,4.3,5,111.9,0
17.6,26084,33.2,4.7,8,44.4,0
6.7,22098,30.5,1.6,10,80.0,0
4.2,7788,9.2,1.1,4,28.0,1
2.8,22217,1.6,2.4,8,63.4,0
17.0,34405,5.9,2.4,3,105.5,0
3.8,22670,32.9,3.3,10,74.4,0
19.4,23236,30.7,1.7,1,37.1,0
2.3,16769,1.0,3.7,10,23.4,0
18.6,9475,33.5,1.6,1,60.6,1
9.9,26589,38.2,3.4,0,46.2,0
12.6,20847,13.0,3.9,9,24.2,0
16.1,15271,12.9,1.2,1,70.2,1
2.3,14361,7.1,4.9,6,19.8,0
3.7,31542,16.1,3.6,10,27.0,0
16.1,30113,32.3,2.2,10,76.4,0
2.4,18040,20.5,3.0,6,62.4,0
8.7,30788,16.9,2.5,2,57.8,0
1.3,17198,38.9,3.7,10,85.5,1
10.2,26629,25.9,1.3,7,58.1,0
9.8,10869,39.4,3.7,4,102.6,1
6.3,7563,22.0,4.7,8,21.8,0
2.3,27654,28.8,4.3,5,38.0,0
10.3,9733,29.6,2.9,2,102.7,0
8.6,29081,11.9,3.3,7,93.3,0
16.3,17184,38.7,4.5,2,33.2,0
19.7,14497,34.9,1.4,8,12.0,0
0.8,27489,19.1,3.8,10,116.2,0
10.0,26266,32.5,3.5,10,115.9,0
16.2,8871,5.0,1.1,1,99.8,1
4.2,6878,8.4,3.6,10,36.6,0
17.2,23648,7.6,2.2,7,26.3,0
2.8,10994,29.6,2.8,7,61.9,1
11.9,12597,11.8,4.3,6,15.6,1
12.8,29366,17.3,2.7,7,91.1,0
11.3,15528,1.5,2.6,8,75.0,0
13.7,32761,34.7,1.9,0,68.1,0
6.7,8081,10.7,3.6,7,22.9,0
13.1,20690,27.9,1.1,4,89.9,1
9.0,22634,8.8,4.6,5,111.4,0
14.4,21350,5.2,2.2,6,115.6,0
13.6,30070,14.4,2.9,2,78.4,0
15.1,27858,19.3,1.7,2,76.6,0
8.6,22178,12.1,1.8,0,119.9,1
5.6,28181,6.3,4.3,8,13.5,0
8.9,26236,9.1,3.2,7,38.4,0
7.4,7529,30.8,3.2,2,103.9,1
12.3,9412,28.3,4.7,7,97.9,1
15.2,9469,31.3,3.4,1,100.6,0
2.6,26641,4.7,1.8,5,27.3,0
9.1,22577,19.9,4.5,2,81.2,0
3.2,33806,8.1,4.9,0,37.0,0
7.2,22548,6.9,2.1,6,49.7,0
3.5,30690,21.2,4.1,2,98.2,0
8.5,21032,38.1,3.1,10,49.8,1
3.3,6325,28.7,3.1,1,19.3,1
19.6,11384,17.4,2.6,0,82.6,1
18.1,7894,39.1,4.9,10,106.3,0
8.7,28310,28.0,4.5,5,110.0,1
6.0,23294,24.4,1.6,6,59.1,0
11.1,31832,24.7,2.8,5,107.6,0
8.4,12464,35.2,1.3,8,46.8,1
14.9,10128,20.8,3.2,3,20.2,0
10.7,30806,25.4,1.1,8,75.2,0
15.6,29806,16.9,3.0,0,102.6,0
10.4,10057,1.9,3.6,1,59.4,1
0.6,17107,39.3,4.2,9,72.2,1
12.7,23474,33.8,1.9,4,41.3,0
14.4,28034,5.6,2.5,3,21.6,0
4.3,31511,14.5,1.4,6,101.1,0
1.7,10261,19.1,2.8,5,84.5,1
11.4,31520,15.8,2.1,7,80.0,0
13.9,22041,29.3,2.7,2,25.9,0
14.4,10239,38.7,3.1,8,23.0,0
9.7,30461,6.3,3.2,1,76.2,0
2.9,24735,11.6,3.1,1,50.9,0
6.4,21922,1.1,1.6,9,56.4,0
6.5,15289,8.6,4.3,7,10.2,0
1.8,7464,16.7,3.3,9,59.8,1
7.9,33343,28.8,3.4,2,65.5,0
9.3,20715,6.0,3.9,1,98.0,0
8.5,13629,36.0,2.4,0,115.4,1
14.9,27165,3.5,1.7,0,72.9,0
14.3,24384,25.8,3.6,1,31.2,0
11.7,7732,38.3,3.1,7,65.3,0
13.3,23427,7.2,1.1,3,37.0,0
17.8,20556,3.4,3.1,5,54.2,1
17.3,6762,13.6,1.7,0,104.6,1
5.5,9756,39.2,3.2,4,25.8,1
2.2,16053,38.1,3.7,0,77.6,1
1.0,7916,11.9,1.4,2,55.4,1
7.8,33123,36.0,1.2,3,92.7,1
10.1,30654,20.2,4.8,4,16.7,0
8.4,21865,1.2,3.5,0,39.6,0
13.7,14071,30.5,3.6,2,43.5,1
2.1,26833,20.0,4.1,2,51.1,0
15.7,23613,38.1,4.8,8,59.7,1
9.6,33176,24.8,3.6,2,10.1,0
9.9,25590,10.0,3.7,5,102.7,0
16.9,15218,1.8,4.0,9,17.7,0
14.1,33213,5.6,3.2,4,106.6,0
10.3,32281,12.7,3.7,5,79.9,0
14.3,14946,9.8,4.9,5,33.2,0
6.9,28670,5.3,4.7,9,62.4,0
13.6,19538,22.2,3.8,7,93.9,0
15.9,27269,26.1,3.2,10,59.0,0
19.5,18333,33.1,2.4,2,102.3,1
19.7,10088,18.5,4.7,7,11.0,0
15.3,28300,36.9,2.4,1,99.8,1
16.3,13246,9.4,3.0,5,14.0,0
14.2,25858,8.4,1.8,10,53.6,0
11.6,22187,6.8,1.8,9,83.9,0
3.9,25272,5.1,1.3,4,112.7,1
17.7,29884,31.3,1.8,10,12.5,0
13.7,26134,10.1,3.2,7,10.2,0
13.6,27300,2.1,4.8,6,102.9,0
2.9,22983,18.7,2.4,0,107.2,1
5.9,19764,21.3,2.3,6,31.4,0
11.7,6831,39.6,1.9,6,115.4,1
4.3,16788,12.4,3.5,1,13.1,0
1.0,32123,25.1,2.3,4,37.2,0
19.2,33279,2.2,2.3,3,113.8,0
12.6,31037,3.8,2.8,1,19.4,0
1.2,16265,35.6,3.8,2,16.8,1
1.6,26012,25.0,1.3,10,16.1,0
17.1,19162,3.8,4.0,3,105.1,0
12.7,20857,15.4,4.2,9,78.1,0
18.8,31655,1.0,3.1,9,31.2,0
12.1,8213,23.7,4.4,9,23.9,0
7.4,21774,29.0,2.8,3,25.1,1
3.0,25153,17.4,4.8,5,44.2,0
15.6,10830,18.8,3.4,4,50.6,1
11.9,28226,5.8,1.9,8,104.5,0
4.3,12565,25.6,1.8,1,47.6,1
14.0,21315,24.0,2.3,9,72.3,0
6.3,16768,6.5,2.8,0,64.6,1
13.0,28715,9.2,3.5,3,62.9,0
16.4,32452,29.6,1.8,2,100.9,1
0.7,17727,1.2,1.5,4,58.4,1
18.3,17793,1.8,1.1,3,41.3,0
5.6,11710,13.6,3.2,2,31.6,1
5.6,9315,0.8,3.7,6,82.0,0
7.1,12889,12.2,2.0,5,82.7,1
19.6,26421,35.3,4.5,1,23.0,0
3.1,12214,7.7,2.5,5,45.0,1
12.9,7513,30.5,3.3,8,42.4,0
5.3,26626,31.8,4.5,8,116.5,0
4.6,8667,31.4,4.2,9,17.1,0
15.2,27137,30.0,2.5,8,61.1,0
7.8,28757,19.3,4.8,7,39.5,0
18.5,25135,26.0,1.8,3,59.7,0
4.8,19927,35.5,3.3,5,38.0,0
15.2,15668,17.8,2.4,9,14.5,0
7.1,20783,18.7,2.6,7,44.9,0
4.0,13660,10.6,1.3,1,42.4,1
11.2,8561,31.4,4.7,1,23.0,1
11.1,16936,7.9,2.3,4,92.0,0
17.0,12246,28.2,5.0,8,110.4,1
6.3,32945,13.9,5.0,6,100.4,0
0.7,27433,20.5,4.0,2,105.2,1
14.6,12877,19.0,3.1,8,93.3,0
9.5,31949,3.4,4.4,6,94.7,0
4.6,20744,34.1,1.1,2,73.5,1
18.9,6317,20.0,3.6,5,47.4,0
13.9,19217,30.5,3.8,4,45.9,1
15.8,10559,6.1,4.8,5,72.5,0
18.3,24804,34.7,4.9,3,114.4,0
8.0,21557,4.3,3.3,7,80.3,0
3.8,28114,22.1,1.1,9,63.7,0
1.9,18644,11.4,1.9,10,67.7,0
7.7,6361,6.9,4.4,6,53.0,0
